orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
BOTTOM,0,2,6,gfpga_pad_pinput_extmode_A2F[53],BOTTOM_1_IN[6],in,clk,rising
BOTTOM,0,2,7,gfpga_pad_pinput_extmode_A2F[54],BOTTOM_1_IN[7],in,clk,rising
BOTTOM,0,2,8,gfpga_pad_poutput_F2A[48],BOTTOM_1_OUT[0],out,clk,rising
BOTTOM,0,2,9,gfpga_pad_poutput_F2A[49],BOTTOM_1_OUT[1],out,clk,rising
BOTTOM,0,2,10,gfpga_pad_poutput_F2A[50],BOTTOM_1_OUT[2],out,clk,rising
BOTTOM,0,2,11,gfpga_pad_poutput_F2A[51],BOTTOM_1_OUT[3],out,clk,rising
BOTTOM,0,2,12,gfpga_pad_poutput_F2A[52],BOTTOM_1_OUT[4],out,clk,rising
BOTTOM,0,2,13,gfpga_pad_poutput_F2A[53],BOTTOM_1_OUT[5],out,clk,rising
BOTTOM,0,2,14,gfpga_pad_poutput_F2A[54],BOTTOM_1_OUT[6],out,clk,rising
BOTTOM,0,2,15,gfpga_pad_poutput_F2A[55],BOTTOM_1_OUT[7],out,clk,rising
LEFT,1,0,0,gfpga_pad_pinput_extmode_A2F[62],LEFT_0_IN[0],in,clk,rising
LEFT,1,0,1,gfpga_pad_pinput_extmode_A2F[63],LEFT_0_IN[1],in,clk,rising
LEFT,1,0,2,gfpga_pad_pinput_extmode_A2F[64],LEFT_0_IN[2],in,clk,rising
LEFT,1,0,3,gfpga_pad_pinput_extmode_A2F[65],LEFT_0_IN[3],in,clk,rising
LEFT,1,0,4,gfpga_pad_pinput_extmode_A2F[66],LEFT_0_IN[4],in,clk,rising
LEFT,1,0,5,gfpga_pad_pinput_extmode_A2F[67],LEFT_0_IN[5],in,clk,rising
LEFT,1,0,6,gfpga_pad_pinput_extmode_A2F[68],LEFT_0_IN[6],in,clk,rising
LEFT,1,0,7,gfpga_pad_pinput_extmode_A2F[69],LEFT_0_IN[7],in,clk,rising
LEFT,1,0,8,gfpga_pad_poutput_F2A[64],LEFT_0_OUT[0],out,clk,rising
LEFT,1,0,9,gfpga_pad_poutput_F2A[65],LEFT_0_OUT[1],out,clk,rising
LEFT,1,0,10,gfpga_pad_poutput_F2A[66],LEFT_0_OUT[2],out,clk,rising
LEFT,1,0,11,gfpga_pad_poutput_F2A[67],LEFT_0_OUT[3],out,clk,rising
LEFT,1,0,12,gfpga_pad_poutput_F2A[68],LEFT_0_OUT[4],out,clk,rising
LEFT,1,0,13,gfpga_pad_poutput_F2A[69],LEFT_0_OUT[5],out,clk,rising
LEFT,1,0,14,gfpga_pad_poutput_F2A[70],LEFT_0_OUT[6],out,clk,rising
LEFT,1,0,15,gfpga_pad_poutput_F2A[71],LEFT_0_OUT[7],out,clk,rising
LEFT,2,0,0,gfpga_pad_pinput_extmode_A2F[70],LEFT_1_IN[0],in,clk,rising
LEFT,2,0,1,gfpga_pad_pinput_extmode_A2F[71],LEFT_1_IN[1],in,clk,rising
LEFT,2,0,2,gfpga_pad_pinput_extmode_A2F[72],LEFT_1_IN[2],in,clk,rising
LEFT,2,0,3,gfpga_pad_pinput_extmode_A2F[73],LEFT_1_IN[3],in,clk,rising
LEFT,2,0,4,gfpga_pad_pinput_extmode_A2F[74],LEFT_1_IN[4],in,clk,rising
LEFT,2,0,5,gfpga_pad_pinput_extmode_A2F[75],LEFT_1_IN[5],in,clk,rising
LEFT,2,0,6,gfpga_pad_pinput_extmode_A2F[76],LEFT_1_IN[6],in,clk,rising
LEFT,2,0,7,gfpga_pad_pinput_extmode_A2F[77],LEFT_1_IN[7],in,clk,rising
LEFT,2,0,8,gfpga_pad_poutput_F2A[72],LEFT_1_OUT[0],out,clk,rising
LEFT,2,0,9,gfpga_pad_poutput_F2A[73],LEFT_1_OUT[1],out,clk,rising
LEFT,2,0,10,gfpga_pad_poutput_F2A[74],LEFT_1_OUT[2],out,clk,rising
LEFT,2,0,11,gfpga_pad_poutput_F2A[75],LEFT_1_OUT[3],out,clk,rising
LEFT,2,0,12,gfpga_pad_poutput_F2A[76],LEFT_1_OUT[4],out,clk,rising
LEFT,2,0,13,gfpga_pad_poutput_F2A[77],LEFT_1_OUT[5],out,clk,rising
LEFT,2,0,14,gfpga_pad_poutput_F2A[78],LEFT_1_OUT[6],out,clk,rising
LEFT,2,0,15,gfpga_pad_poutput_F2A[79],LEFT_1_OUT[7],out,clk,rising
LEFT,3,0,0,gfpga_pad_pinput_extmode_A2F[78],LEFT_2_IN[0],in,clk,rising
LEFT,3,0,1,gfpga_pad_pinput_extmode_A2F[79],LEFT_2_IN[1],in,clk,rising
LEFT,3,0,2,gfpga_pad_pinput_extmode_A2F[80],LEFT_2_IN[2],in,clk,rising
LEFT,3,0,3,gfpga_pad_pinput_extmode_A2F[81],LEFT_2_IN[3],in,clk,rising
LEFT,3,0,4,gfpga_pad_pinput_extmode_A2F[82],LEFT_2_IN[4],in,clk,rising
LEFT,3,0,5,gfpga_pad_pinput_extmode_A2F[83],LEFT_2_IN[5],in,clk,rising
LEFT,3,0,6,gfpga_pad_pinput_extmode_A2F[84],LEFT_2_IN[6],in,clk,rising
LEFT,3,0,7,gfpga_pad_pinput_extmode_A2F[85],LEFT_2_IN[7],in,clk,rising
LEFT,3,0,8,gfpga_pad_poutput_F2A[80],LEFT_2_OUT[0],out,clk,rising
LEFT,3,0,9,gfpga_pad_poutput_F2A[81],LEFT_2_OUT[1],out,clk,rising
LEFT,3,0,10,gfpga_pad_poutput_F2A[82],LEFT_2_OUT[2],out,clk,rising
LEFT,3,0,11,gfpga_pad_poutput_F2A[83],LEFT_2_OUT[3],out,clk,rising
LEFT,3,0,12,gfpga_pad_poutput_F2A[84],LEFT_2_OUT[4],out,clk,rising
LEFT,3,0,13,gfpga_pad_poutput_F2A[85],LEFT_2_OUT[5],out,clk,rising
LEFT,3,0,14,gfpga_pad_poutput_F2A[86],LEFT_2_OUT[6],out,clk,rising
LEFT,3,0,15,gfpga_pad_poutput_F2A[87],LEFT_2_OUT[7],out,clk,rising
LEFT,4,0,0,gfpga_pad_pinput_extmode_A2F[86],LEFT_3_IN[0],in,clk,rising
LEFT,4,0,1,gfpga_pad_pinput_extmode_A2F[87],LEFT_3_IN[1],in,clk,rising
LEFT,4,0,2,gfpga_pad_pinput_extmode_A2F[88],LEFT_3_IN[2],in,clk,rising
LEFT,4,0,3,gfpga_pad_pinput_extmode_A2F[89],LEFT_3_IN[3],in,clk,rising
LEFT,4,0,4,gfpga_pad_pinput_extmode_A2F[90],LEFT_3_IN[4],in,clk,rising
LEFT,4,0,5,gfpga_pad_pinput_extmode_A2F[91],LEFT_3_IN[5],in,clk,rising
LEFT,4,0,6,gfpga_pad_pinput_extmode_A2F[92],LEFT_3_IN[6],in,clk,rising
LEFT,4,0,7,gfpga_pad_pinput_extmode_A2F[93],LEFT_3_IN[7],in,clk,rising
LEFT,4,0,8,gfpga_pad_poutput_F2A[88],LEFT_3_OUT[0],out,clk,rising
LEFT,4,0,9,gfpga_pad_poutput_F2A[89],LEFT_3_OUT[1],out,clk,rising
LEFT,4,0,10,gfpga_pad_poutput_F2A[90],LEFT_3_OUT[2],out,clk,rising
LEFT,4,0,11,gfpga_pad_poutput_F2A[91],LEFT_3_OUT[3],out,clk,rising
LEFT,4,0,12,gfpga_pad_poutput_F2A[92],LEFT_3_OUT[4],out,clk,rising
LEFT,4,0,13,gfpga_pad_poutput_F2A[93],LEFT_3_OUT[5],out,clk,rising
LEFT,4,0,14,gfpga_pad_poutput_F2A[94],LEFT_3_OUT[6],out,clk,rising
LEFT,4,0,15,gfpga_pad_poutput_F2A[95],LEFT_3_OUT[7],out,clk,rising
